estado,year,nivel
Guanajuato,2012,0.9357798165137615
Guanajuato,2013,0.08294930875576037
Guanajuato,2014,0.08695652173913043
Guanajuato,2015,0.0
Guanajuato,2016,0.01775147928994083
Guanajuato,2017,0.32729805013927576
Guanajuato,2018,1.1996336996336996
Guanajuato,2019,0.3484276729559748
Guanajuato,2020,0.46286472148541113
Guanajuato,2021,1.7325581395348837
Guanajuato,2022,0.7136150234741784
Guanajuato,2023,1.832703213610586
Guanajuato,2024,2.2
Guerrero,2003,0.7448015122873346
Guerrero,2004,0.2391304347826087
Guerrero,2005,0.09215017064846416
Guerrero,2006,0.3148148148148148
Guerrero,2007,0.4037735849056604
Guerrero,2008,0.5231053604436229
Guerrero,2009,0.2630208333333333
Guerrero,2010,0.125
Guerrero,2011,0.3132183908045977
Guerrero,2012,0.0
Guerrero,2013,0.0
Guerrero,2014,0.14722536806342015
Guerrero,2015,0.3754152823920266
Guerrero,2016,0.5896414342629482
Guerrero,2017,0.3488569009314141
Guerrero,2018,0.33605998636673484
Guerrero,2019,0.6062283737024221
Guerrero,2020,1.145478374836173
Guerrero,2021,1.0274599542334095
Guerrero,2022,0.10194174757281553
Guerrero,2023,1.0570430733410943
Guerrero,2024,1.083720930232558
Hidalgo,2003,0.0
Hidalgo,2004,0.0
Hidalgo,2005,0.010238907849829351
Hidalgo,2006,0.3261538461538461
Hidalgo,2007,0.3657142857142857
Hidalgo,2008,0.0326530612244898
Hidalgo,2009,0.40476190476190477
Hidalgo,2010,0.0
Hidalgo,2011,0.9852348993288591
Hidalgo,2012,0.09195402298850575
Hidalgo,2013,0.2292358803986711
Hidalgo,2014,0.012345679012345678
Hidalgo,2015,0.3782894736842105
Hidalgo,2016,0.458477508650519
Hidalgo,2017,0.3583662714097497
Hidalgo,2018,0.41827326068734283
Hidalgo,2019,0.7416893732970027
Hidalgo,2020,0.3658698539176627
Hidalgo,2021,0.8367528991971455
Hidalgo,2022,0.8063218390804597
Hidalgo,2023,1.5625
